181: [74.32177696831552,14.707635795874076]
182: [74.3462306605398,14.685549921684895]
183: [74.37552694512641,14.655740779030873]
184: [74.39835314434357,14.619831707002525]
185: [74.41512379906972,14.579227121121148]
186: [74.43530120617964,14.507899272852832]
187: [74.44071901800278,14.495128472666613]
188: [74.44975313603142,14.465421919132364]
189: [74.4673487366226,14.42988737473081]
190: [74.47445660173948,14.4024460683272]
191: [74.48293336200187,14.377318993305533]
192: [74.48959525191738,14.348027133482129]
193: [74.51023643535943,14.274425252371445]
194: [74.51283163504407,14.261605347701131]
195: [74.50932233004501,14.247768750272853]
196: [74.51145821553419,14.234016857566267]
197: [74.52233842422923,14.205269062636638]
198: [74.52961562979979,14.192988712165251]
199: [74.53601897604325,14.177484345661531]
200: [74.54006334629184,14.161931054338721]
201: [74.55090341815335,14.084026060740237]
202: [74.56185052806079,14.050680927676641]
203: [74.5835039423202,13.997764813805965]
204: [74.62273954567215,13.931819152642001]
205: [74.6468275822039,13.898228690403068]
206: [74.66703181912202,13.871460765135987]
207: [74.69994441108372,13.843060700473371]
208: [74.7080778488294,13.833553961235207]
209: [74.74954742844827,13.771768655459725]
210: [74.75633862385524,13.759479304940054]
211: [74.78901498000234,13.715463533814575]
212: [74.80301655099598,13.693640700203126]
213: [74.82007703867272,13.672950489958753]
214: [74.82097778544673,13.658565378302148]
215: [74.83035081323051,13.632537686286287]
216: [74.83339638206002,13.618808115736913]
217: [74.83925567584016,13.605591317587816]
218: [74.87545019512774,13.546922924726436]
219: [74.91486412869257,13.491059244564376]
220: [74.93702586276424,13.455591623231498]
221: [74.95011785158812,13.430072170809217]
222: [74.97226167636911,13.395514137614072]
223: [74.9825131605841,13.371336845327374]
224: [74.9862677797687,13.34292793262397]
225: [74.99076698420772,13.326010099768512]
226: [74.99916793941193,13.299968982121166]
227: [75.01971988034762,13.247472008354473]
228: [75.0208882071992,13.233724536131202]
229: [75.03115754689784,13.207246458783933]
230: [75.04605090133171,13.184977691688454]
